109婚纱摄影购物广场		1766182	11	21	78	3419		35	5	5	3481,3057,1532,626,2400,15571,1389,12433,1835,22124,17452,16337,88,5026,21178,1512,12273,3871,22189,14796,11890,10944,1133,16159,22720,12393,8443,4295,7616,3405,2280,12081,12134,804,22813,16803,15605,11477,16737,20876,5784,3512,1392,23428,18881,7529,8156,20747,9061,2333,11161,15148,1905,16500,14012,16429,22727,19513,19487,4650,4633,15889,12672,3590,3817,7926,17359,5359,6884,5017,18487,17311,16165,19478,11480,2981,11564,21173,6962,6073,20056,12555,15394,8037,23450,16616,9627,9330	71
BHG Mall北京华联上地购物中心	农大南路店	2540446	157	187	674	62702	183	35	55	5	1411,1811,76,5747,76,852,4173,1023,1440,3162,325,12,368,418,1976,470,354,1047,502,11959,1015,13189,3881,458,1428,2978,5700,461,526,11430,282,12615,5615,7916,375,20503,260,4237,5586,2844,523,865,1840,12531,11595,22943,2592,2230,1599,14273,1122,2669,2719,7813,10991,363,3416,4288,4332,11774,306,11989,12701,19159,13140,22694,3835,16893,6686,7291,127,15810,5421,5274,4054,2789,4166,950,779,9903,3973,2302,20105,22584,2075,932,23001,13047,16339,3416,12673,2281,12603,3008,1654,209,8471,19664,5599,1694,1114,157,8620,594,598,6840,1557,351,17088,2943,2079,2064,8511,118,2749,2001,1641,9280,3122,4030,1070,20627,2032,63,5389,2205,4679,7529,10805,874,1806,110,692,49,9279,18350,945,943,1706,9924,13706,10031,21694,3458,6871,6408,5933,1247,15838,19909,1109,14338,20939,337,3458,21518,4447,4449,4845,308,51,2656,2655,1762,10237,12037,3851,690,13055,12430,16356	74
BHG Mall北京华联回龙观购物中心	回龙观店	2058691	174	198	726	40997	213	35	43	5	12105,7322,76,852,1532,1440,1023,1015,458,2052,12068,4631,20440,1262,103,11458,10021,21839,461,11430,2669,6226,282,13863,1955,2096,9288,487,3835,2484,14432,14273,1700,523,2064,152,12326,1522,50,810,222,19020,720,1163,22562,4497,2719,347,1109,14254,1325,16810,19885,157,912,681,1385,363,3604,1699,9272,4042,393,1502,3587,5766,354,16,159,2807,5754,4353,2032,8819,874,21699,15236,7710,10683,1041,2680,1706,7202,8300,16827,1409,1840,710,6475,485,1629	75
万达广场	石景山店	2908696	499	633	2470	111328	156	45	115	5	14188,3423,21060,76,3165,852,1532,1440,1264,418,3162,103,231,103,1103,1322,1380,325,347,912,16,681,368,14239,2807,1039,715,354,3970,2582,228,1141,1446,1974,647,4055,1613,626,2028,16088,1265,6131,608,9157,18779,4324,4716,1505,4763,19921,11004,818,2669,998,2646,7449,725,117,3017,6057,12747,17102,951,19166,1122,1438,3324,3071,6122,2042,375,3842,13133,750,1760,15631,8533,8879,14075,4502,112,8501,865,1539,209,5198,11063,18821,2096,7762,10385,10304,9275,7568,538,677,5811,523,222,6622,14810,7562,1599,23063,19613,7831,217,380,666,23347,6633,6604,660,2,4497,20985,2331,2743,14709,1674,1498,7,6951,157,20547,834,7416,97,1641,929,2116,2032,8088,17747,14953,15002,1579,3917,1492,19864,8860,13169,1024,135,11447,1576,4856,4904,945,9189,15513,10230,1899,15704,15704,13583,22538,16008,774,15291,9910,4517,374,363,13276,414,33,20716,659,664,3695,159,4288,6074,14465,3835,18447,16255,17710,19882,1806,7669,7765,282,4644,3905,58,1848,7847,9428,7547,18758,17357,11642,12564,2621,17648,2211,17706,21952,16763,15761,18507,5868,3461,17811,20026,20076,410,4307,3650,10628,7518,16068,3839,900,20379,3287,3378,7772,2779,12867,19595,282,22555,12872,1939,19020,19901,15070,1557,1490,2874,329,430,13029,1549,132,17332,2815,3126,767,1885,2934,152,3030,2355,920,6337,1587,1867,6925,425,13875,11978,9602,2557,19024,11520,18333,20370,20356,21188,10564,4157,19457,405,944,5938,3351,1,363,8524,6373,1195,1471,22371,925,4696,15077,15081,1213,83,6670,1385,18374,19836,17343,2660,2654,20622,10723,3595,2251,4943,9449	85
万达百货	北京银河店	2906791	98	125	427	18058	384	40	24	5	14188,3423,21060,76,852,1532,1440,418,3162,231,103,1103,1322,1380,325,347,912,3233,16,681,368,14239,2807,1039,715,354,3970,2582,228,1141,1446,1974,647,4055,1613,626,2028,16088,1265,608,4324,4716,1505,4763,11004,818,2669,998,2646,725,117,3017,6057,12747,17102,951,19166,1438,3324,2042,375,3842,13133,750,1760,8533,8879,14075,4502,112,5117,1539,209,5198,11063,18821,2096,7762,10304,9275,538,677,5811,523,222,6622,14810,7562,1599,23063,7831,217,380,666,6604,660,2,4497,20985,2331,2743,14709,1674,1498,7,6951,157,20547,834,7416,97,1641,929,2116,2032,14953,15002,3917,1492,19864,8860,1024,135,11447,1576,4856,4904,945,9189,15704,774,15291,4517,374,363,13276,414,33,20716,659,664,159,4288,6074,14465,3835,18447,16255,17710,19882,1806,7669,7765,282,4644,3905,58,1848,7847,7547,18758,17357,11642,12564,2621,17648,2211,17706,21952,16763,15761,18507,5868,3461,17811,20026,20076,410,4307,3650,10628,7518,16068,900,20379,3287,3378,7772,282,22555,12872,1939,19020,19901,15070,329,430,13029,1549,132,17332,2815,3126,767,1885,2934,152,3030,920,6337,1587,1867,6925,11978,18333,20356,4157,405,297,5938,4946,3351,1,363,8524,1195,1471,22371,925,4696,15077,15081,1213,83,6670,1385,19836,3595	84
三里屯SOHO		4533807	307	284	1556	31791	132	40	58	5	13022,1323,10952,11857,8575,22658,12,16,8833,23158,1184,3422,982,2631,3443,2179,1360,6442,15072,20166,19894,7869,16516,17119,21757,2991,1881,22238,15034,5223,6996,22942,21874,21858,21921,360,20437,18514,8276,12697,9656,3069,5061,20812,17936,221,1144,22463,21448,7594,7321,14854,3117,1165,5889,173,17453,9577,1623,4213,19750,3553,14275,15707,195,6327,4724,14065,19435,8585,3649,17449,7297,3343,346,17226,1074,18898,11076,15522,1679,14723,2096,15704,13543,14119,20647,8316,16652,23068,7968,8596,18942,16593,4653,5623,4014,3127,8268,22222,7487,505,477,445,6107,9218,13121,7442,791,11739,3831,3847,5917,1914,22234,14788,10290,13702,6939,15894,5343,822,3036,1016,22558,4666,5978,5240,4213,6557,8583,16962,8350,8369,20223,4648,5800,21866,467,7053,15860,12838,4160,2950,3866,3889,3833,3836,3827,3809,4006,4004,3666,11066,9439,6639,14630,14626,4659,4662,12281,14676,5306,18783,14030,23284,330,902,544,6241,22763,11749,11869,9784,17473,473,452,459,22554,16802,16191,16695,10812,2736,13695,17876,18825,13674,1349,14196,16663,883,14568,23386,7316,2909,18321,15020,21857,17786,19225,7185,13939,6914,20053,13167,23267,15347,15660,15560,9297,5067,12481,8588,8631,8624,8612,8705,8682,8665,8661,8329,8339,8319,23215,5565,5030,7590	80
三里屯Village北区		15080143	75	66	361	3738		35	11	5	18836,3153,76,6,3162,233,2534,16,661,143,6,1808,231,10509,1702,547,1385,2258,663,16503,17207,6656,8602,23345,1001,7532,6267,28,3103,4380,5237,4392,10699,1821,1871,2704,12367,343,17219,7542,17179,208,14842,5801,10301,11324,1930,14148,704,5649,11572,18318,2457,3698,6709,152,18257,848,528,6671,1630,876,8193,11124,22479,1562,22902,11130,22470,8444,1817,19666,13447,5658,1120,6179,12637,12106,66,1238,2263,15061,14004,6225,8830,8868,202,5732,307,2208,23434,15344,15955,774,5805,5303,4658,7381,6727,310,7725,4268,4381,19327,8949,20583,15656,15966,4769,1686,83,4223,8639,7942,12879,15695,12041,11599,4443,19138,12492,3952,20263,6235,13715,13745,1365,3538,1851,6477,2109,700,1646,5379,4460,7280,4482,13743,8717,11370,18117,16808,4551,4351,11405,16229,2501,7198,11951,4920,1193,524,784,4974,12948,21143,5869,12401,930,17493,710,19701,5840,15094,12682,22426,71,13712,5095,13538,210,211,6095,4377,19515,5588,2922,4168,18373,1537,4548,19299,3904,21388,3464,6247,5976,13685,592,16139,19667,619,15090,12547,8706,15724,5947,19605,23466	69
三里屯VILLAGE南区		16493011	25	38	87	320		35	7	5	3153,1649,76,3162,661,231,143,1385,663,16503,17207,12034,1001,4380,7532,1821,4392,8807,1871,343,2704,10699,3103,8602,12367,8324,10301,208,5801,1930,20852,848,152,11572,6,876,1630,8193,16,233,1562,3698,2457,2534,22479,10644,1651,6671,13447,774,17219,1817,12637,14004,4223,1238,8444,1600,66,19666,19327,1120,12106,8830,22902,12682,8639,307,4381,1851,16808,1686,5805,524,5379,135,8717,15656,19299,3904,5303,1646,4920,4974,12948,7286,10509,7725,83,4268,4482,5840,2208,6727,700,18373,19138,4460,1613,12401,7280,710,20263,21388,18689,11370,3538,1082,12547,4443,6681,2922,4168,11951,1193,784,2258,21143,1537,4548,5869,12492,930,3952,1702,1215,619,547,22426,1215,13538,4377,5947,19605,405	69
三里屯太古里		2564407	1209	1376	5579	364985	394	50	263	5	18836,3153,76,6,3162,233,2534,16,661,143,6,1808,231,10509,1702,547,1385,2258,663,16503,17207,6656,8602,23345,1001,7532,6267,28,3103,4380,5237,4392,10699,1821,1871,2704,12367,343,17219,7542,17179,208,14842,5801,10301,11324,1930,14148,704,5649,11572,18318,2457,3698,6709,152,18257,848,528,6671,1630,876,8193,11124,22479,1562,22902,11130,22470,8444,1817,19666,13447,5658,1120,6179,12637,12106,66,1238,2263,15061,14004,6225,8830,8868,202,5732,307,2208,23434,15344,15955,774,5805,5303,4658,7381,6727,310,7725,4268,4381,19327,8949,20583,15656,15966,4769,1686,83,4223,8639,7942,12879,15695,12041,11599,4443,19138,12492,3952,20263,6235,13715,13745,1365,3538,1851,6477,2109,700,1646,5379,4460,7280,4482,13743,8717,11370,18117,16808,4551,4351,11405,16229,2501,7198,11951,4920,1193,524,784,4974,12948,21143,5869,12401,930,17493,710,19701,5840,15094,12682,22426,71,13712,5095,13538,210,211,6095,4377,19515,5588,2922,4168,18373,1537,4548,19299,3904,21388,3464,6247,5976,13685,592,16139,19667,619,15090,12547,8706,15724,5947,19605,23466	90
世茂广场.工三		4502673	514	718	2172	101578	124	40	134	5	16535,3221,20220,1440,18551,8,3120,8671,279,16,1154,8114,705,1312,14468,1374,6391,8175,14116,19371,10323,2821,18540,5239,1143,706,442,123,3605,16844,3447,3999,5525,4814,14764,4637,5673,146,7512,4109,4040,5949,2240,1116,808,1976,5798,6087,152,22095,4577,117,5304,725,1131,10445,18577,19680,17618,690,964,10132,2116,374,7530,5737,5689,17211,803,1549,50,20551,6408,7705,14672,925,3189,14701,14039,1522,10083,7400,3030,674,361,25,8434,5816,430,659,1755,14135,20699,17340,5454,6925,6694,6629,21620,16281,534,10337,1007,11102,112,219,83,18596,16246,16799,2591,1603,10347,14839,3804,18623,6790,7335,15021,23166,22537,16927,20439,7242,945,8298,4332,363,1915,5833,9734,9497,636,2485,19095,2264,3434,18471,1349,81,6047,16206,517,4296,1942,1522,10580,3768,4115,10288,4347,727,21219,14874,16403,5296,5567,16399,19711,18675,17713,939	77
