圣大保罗		1	1	1	4	82		13	0	5		69
鞋柜		2	5	5	25	639	189	34	0	5		70
万商康乐城游泳馆		3	29	33	118	6139		30	11	5		69
THE FIG TREE		4	3	4	13	834		0	1	5		
北京金色罗马婚纱摄影		5	50	36	222	1424		50	10	5		90
星巴克咖啡		6	250	247	1065	22526	36	38	21	5		78
TWICE		7	5	5	23	848	170	34	2	5		70
芬狄诗		8	2	3	9	229		32	1	5		70
冰糖葫芦		9	46	46	144	2404		35	2	5		73
CORSET BY YISELLE		10	1	1	4	93		30	0	5		
NEW BALANCE		11	81	78	380	8686	715	32	11	5		69
中国银行		12	15	16	73	1681		33	3	5		70
真功夫		13	158	158	688	14582	25	37	9	5		77
可C可D		14	11	12	46	315		35	3	5		75
嘉事堂药店		15	20	18	70	536		35	3	5		74
耐克		16	25	22	97	3077	688	33	5	5		70
乔丹		17	9	9	42	1406		34	2	5		70
影音艺廊		18	2	3	12	128		35	1	5		71
中茶世界茶园		19	6	10	33	453		30	2	5		
JUJU		22	2	2	8	204		30	0	5		
多样屋		23	2	2	10	256		12	0	5		71
阿尤		24	2	4	12	294		35	0	5		71
EMODUES		25	4	2	15	200		23	1	5		70
爱川袜子		26	8	6	30	165		30	3	5		
安奈儿		27	2	1	6	116		18	0	5		69
LET'S SEAFOOD		28	1916	1777	7834	236090	193	45	191	5		87
飘蕾		29	4	2	16	218		30	2	5		69
ZCZZ		30	5	4	22	620		19	1	5		69
九阳		31	0	1	2	155		32	0	5		70
燕芳美发厅		32	2	0	6	47		30	0	5		
JOCKEY		33	2	3	16	341		30	0	5		70
君和凯娜		34	0	0	2	35		0	0	5		
悦·指间美甲		35	305	328	1360	29268	359	49	27	5		90
时尚家居		36	0	2	11	134		30	0	5		67
GAINER		37	2	2	10	127		30	0	5		69
哈林秀王英语篮球训练营		38	1	2	5	390		35	0	5		71
SIDEOUT		39	0	1	3	210		35	1	5		70
徐凯造型		40	44	47	176	14574	504	35	7	5		72
伊莱尔		41	2	0	4	66		15	0	5		
YIGUE		42	4	6	25	435		33	0	5		69
GENIUS AT WORK		43	964	713	3789	28716	72	38	84	5		78
蚯蚓物		44	1	4	7	69		0	0	5		
CHERVO’		46	4	3	19	299		30	0	5		
威尔谛姜杰琴城		47	4	5	17	629		16	2	5		70
格林屋		48	4	3	13	636		35	1	5		70
中国农业银行		49	10	10	40	868		33	1	5		69
鲜果时间		50	30	27	114	1930	10	35	3	5		73
润祥商务餐		51	1	1	6	50		0	0	5		
锈春秋织锈堂		53	2	1	4	159		0	0	5		
韵味鑫林		54	0	0	1	28		0	0	5		
妙MUSE巴黎越南小吃		55	1170	1127	4947	90640	86	39	133	5		80
晨曦百货		56	54	30	225	14430	374	32	8	5		70
客家会馆		57	4	0	8	50		30	0	5		
六六福珠宝		58	3	3	12	294		32	0	5		74
陕味食足		60	66	64	238	2178		35	6	5		73
丽姿		61	0	0	0	5		0	0	5		
博士蛙365		63	4	4	14	518		29	1	5		71
YY COLLECTION		64	1	1	8	542		35	0	5		69
萌萌兔玩乐园		65	13	9	37	711		35	0	5		71
SASA		66	30	28	136	3941	258	31	4	5		68
欧迪芬		67	2	3	11	402		31	0	5		71
奶花儿烘焙屋		69	26	15	104	4143	100	35	7	5		70
乐高		70	18	22	78	1269	503	22	2	5		71
SPORT B		71	8	10	33	517		35	1	5		
EOCCO		72	4	5	31	349		35	0	5		72
J&M		73	4	7	22	521		31	1	5		68
LUXLAW		74	5	6	31	218		30	2	5		
木子美发造		75	3	2	19	188		35	0	5		70
屈臣氏		76	32	30	143	4107	76	34	2	5		72
玛米玛卡		77	0	2	5	43		18	0	5		
本色棉		78	10	11	45	397		25	2	5		74
你好先生		79	4	2	18	566		30	2	5		68
联食通享家美食坊		80	3	3	17	223		35	1	5		74
耀莱新天地		81	45	41	188	4072		35	7	5		76
回力		82	2	3	8	454		30	0	5		64
PAUL FRANK		83	9	9	40	1204		34	1	5		71
新百伦运动服装专柜		84	3	1	12	45		30	0	5		
恒坤行北京店		85	2	1	3	15		35	0	5		
玫琳凯工作室		86	1	2	10	310		0	0	5		
